Unnamed: 0_x,ID_HDC_G0,QA2_1V,AREA,BBX_LATMN,BBX_LONMN,BBX_LATMX,BBX_LONMX,GCPNT_LAT,GCPNT_LON,CTR_MN_NM,CTR_MN_ISO,GRGN_L1,GRGN_L2,UC_NM_MN,Unnamed: 0_y,UACE20,hierid,days over 29 degC - CarbonPlan - historical,days over 29 degC - CarbonPlan - ssp245-2030,days over 29 degC - CarbonPlan - ssp245-2050,days over 30.5 degC - CarbonPlan - historical,days over 30.5 degC - CarbonPlan - ssp245-2030,days over 30.5 degC - CarbonPlan - ssp245-2050,days over 32 degC - CarbonPlan - historical,days over 32 degC - CarbonPlan - ssp245-2030,days over 32 degC - CarbonPlan - ssp245-2050
1,1.0,1.0,185.0,21.24768326,-158.0430162,21.42219259,-157.7305288,21.34067769,-157.8934967,United States,USA,Northern America,Northern America,Honolulu,1,,,0.25,6.25,15.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,1.0,55.0,34.85851712,-120.475511,34.98933425,-120.3891829,34.92312304,-120.4343724,United States,USA,Northern America,Northern America,Santa Maria,5358,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,1.0,48.0,36.58299715,-121.9522146,36.63574278,-121.8118164,36.60771997,-121.8823776,United States,USA,Northern America,Northern America,Monterey,6469,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,1.0,60.0,34.3882203,-119.8538547,34.45783072,-119.6584131,34.42766353,-119.7436927,United States,USA,Northern America,Northern America,Santa Barbara,7579,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,1.0,57.0,36.94369719,-122.0671663,36.99653622,-121.8687297,36.97127374,-121.9786845,United States,USA,Northern America,Northern America,Santa Cruz,8690,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,1.0,54.0,36.64453504,-121.6895178,36.74127479,-121.5837793,36.68899056,-121.6408306,United States,USA,Northern America,Northern America,Salinas,9801,,,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,1.0,136.0,34.13606475,-119.3212512,34.29254155,-119.1210056,34.2174855,-119.2091316,United States,USA,Northern America,Northern America,Oxnard,10911,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,1.0,21.0,36.89087193,-121.8026085,36.94369719,-121.727724,36.91958872,-121.7646884,United States,USA,Northern America,Northern America,Watsonville,12022,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,1.0,1717.0,37.19921391,-122.5303992,38.06511304,-121.7342654,37.32711544,-121.9332989,United States,USA,Northern America,Northern America,San Jose,2,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,1.0,38.0,34.20559648,-119.0955114,34.24906479,-118.9607879,34.22938861,-119.0329294,United States,USA,Northern America,Northern America,Camarillo,1113,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,1.0,105.0,34.13606475,-118.993479,34.23167645,-118.7309419,34.18196155,-118.8641047,United States,USA,Northern America,Northern America,Thousand Oaks,2224,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,1.0,77.0,37.90578524,-122.6077372,38.02969564,-122.4577017,37.96859272,-122.5273755,United States,USA,Northern America,Northern America,San Rafael,3335,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,1.0,5633.0,33.38994571,-118.6756433,34.32732907,-117.111532,33.95381355,-117.9539253,United States,USA,Northern America,Northern America,Los Angeles,3582,,,2.5,8.0,15.25,0.0,1.25,3.0,0.0,0.0,0.0
15,15.0,1.0,35.0,38.21570891,-122.6853581,38.27775293,-122.5713166,38.24622195,-122.6323799,United States,USA,Northern America,Northern America,Petaluma,3693,,,0.0,1.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,1.0,53.0,34.24037045,-118.8153297,34.30123792,-118.6545373,34.27227869,-118.740073,United States,USA,Northern America,Northern America,Simi Valley,3804,,,0.0,2.5,5.25,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,1.0,80.0,38.38416043,-122.7826757,38.48175223,-122.6273329,38.44448407,-122.7137258,United States,USA,Northern America,Northern America,Santa Rosa,3915,,,1.0,4.0,6.0,0.0,0.0,0.25,0.0,0.0,0.0
18,18.0,1.0,412.0,37.6405259,-122.2975209,38.18026409,-121.8185914,37.91394614,-122.0483181,United States,USA,Northern America,Northern America,Concord,4026,,,4.0,8.75,12.75,0.0,3.0,3.75,0.0,0.0,0.0
19,19.0,1.0,36.0,32.3269853,-117.1071767,32.42185244,-117.0185263,32.37752852,-117.0591654,Mexico,MEX,Latin America and the Caribbean,Central America,Rosarito,4137,,,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0
20,20.0,1.0,90.0,31.76716698,-116.6810092,31.9220644,-116.5467671,31.85349583,-116.6004579,Mexico,MEX,Latin America and the Caribbean,Central America,Ensenada,4248,,,0.0,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0
21,21.0,1.0,1776.0,32.43047859,-117.4189156,33.26871446,-116.7901801,32.82158244,-117.1106947,United States,USA,Northern America,Northern America,Tijuana,4359,,,1.0,3.5,6.0,0.0,0.25,1.0,0.0,0.0,0.0
22,22.0,1.0,49.0,37.64936214,-121.8202466,37.72890602,-121.6892131,37.68840859,-121.7539797,United States,USA,Northern America,Northern America,Livermore,4470,,,6.5,13.5,19.5,1.0,4.0,6.0,0.0,0.0,1.0
23,23.0,1.0,11.0,32.39597585,-116.9840069,32.43047859,-116.9298759,32.41518699,-116.957053,Mexico,MEX,Latin America and the Caribbean,Central America,Las Delicias,4581,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24.0,1.0,114.0,34.36212202,-118.6122341,34.47523674,-118.4288169,34.42012237,-118.5319524,United States,USA,Northern America,Northern America,Santa Clarita,4692,,,6.0,13.5,22.0,0.0,2.5,5.5,0.0,0.0,0.25
25,25.0,1.0,34.0,38.27775293,-122.3516495,38.34868475,-122.2540403,38.3087824,-122.3012615,United States,USA,Northern America,Northern America,Napa,4803,,,4.75,10.0,15.0,0.0,2.5,4.0,0.0,0.0,0.0
26,26.0,1.0,166.0,37.91463339,-121.9851813,38.04740354,-121.6668456,37.98543292,-121.7975158,United States,USA,Northern America,Northern America,Antioch,4914,,,9.75,18.0,26.5,2.5,7.0,10.0,0.0,1.5,2.5
27,27.0,1.0,40.0,38.23343374,-122.0846503,38.29548345,-121.9755881,38.2640129,-122.0302527,United States,USA,Northern America,Northern America,Fairfield,5025,,,10.5,19.5,29.0,3.0,6.5,9.25,0.0,1.0,2.0
28,28.0,1.0,49.0,37.68471102,-121.4847273,37.77311093,-121.3792567,37.73007868,-121.4314133,United States,USA,Northern America,Northern America,Tracy,5136,,,19.0,35.75,49.5,5.5,13.5,19.0,0.5,3.0,5.25
29,29.0,1.0,306.0,35.26867459,-119.188659,35.45218866,-118.8894958,35.36381044,-119.0475354,United States,USA,Northern America,Northern America,Bakersfield,5247,,,55.5,78.0,95.75,20.0,41.0,54.0,4.0,11.75,19.25
30,30.0,1.0,34.0,38.31321559,-122.0248587,38.3752909,-121.9249562,38.34685897,-121.9694469,United States,USA,Northern America,Northern America,Vacaville,5359,,,12.0,22.75,33.25,3.0,8.0,11.25,0.0,1.75,3.0
31,31.0,1.0,20.0,32.55127745,-116.6701942,32.5771709,-116.5785628,32.56465538,-116.6228948,Mexico,MEX,Latin America and the Caribbean,Central America,Tecate,5470,,,3.5,8.5,15.0,0.0,1.0,3.0,0.0,0.0,0.0
32,32.0,1.0,147.0,34.53616859,-118.2621793,34.71906511,-118.0012602,34.58484845,-118.1317197,United States,USA,Northern America,Northern America,Palmdale,5581,,,14.5,29.5,41.25,2.0,7.5,12.25,0.0,0.0,1.25
33,33.0,1.0,32.0,37.77311093,-121.2620225,37.83501446,-121.1721203,37.79991498,-121.2197198,United States,USA,Northern America,Northern America,Manteca,5692,,,31.5,53.25,70.0,10.0,21.25,32.0,2.0,6.75,10.25
34,34.0,1.0,185.0,37.88809016,-121.3994127,38.05625809,-121.1977537,37.97378272,-121.2952444,United States,USA,Northern America,Northern America,Stockton,5803,,,30.5,51.5,65.75,10.0,21.75,30.5,2.0,6.75,10.0
35,35.0,1.0,146.0,37.5786833,-121.1022932,37.72006623,-120.8943862,37.65057261,-120.9871322,United States,USA,Northern America,Northern America,Modesto,5914,,,34.75,60.0,77.5,11.5,23.75,35.75,2.0,7.5,11.0
